x,y
0.0007650273224043716, 0.9955035971223021
0.013387978142076503, 0.9505395683453237
0.024098360655737706, 0.8741007194244603
0.03480874316939891, 0.7661870503597124
0.04437158469945355, 0.6492805755395681
0.05316939890710382, 0.5233812949640289
0.061967213114754095, 0.3705035971223021
0.07153005464480874, 0.2131294964028776
0.07994535519125683, 0.05575539568345311
0.08950819672131148, -0.12859712230215825
0.0971584699453552, -0.2679856115107915
0.10633879781420764, -0.42535971223021596
0.11475409836065574, -0.5602517985611511
0.12316939890710382, -0.6996402877697843
0.1350273224043716, -0.8345323741007195
0.14459016393442622, -0.9289568345323741
0.15415300546448088, -0.9919064748201439
0.16601092896174863, -1.0233812949640289
0.17595628415300546, -1.0053956834532374
0.18666666666666668, -0.9469424460431655
0.19737704918032786, -0.8570143884892086
0.20770491803278687, -0.7401079136690648
0.21879781420765027, -0.5917266187050361
0.22836065573770492, -0.42535971223021596
0.2394535519125683, -0.22751798561151082
0.2509289617486339, -0.011690647482014427
0.2662295081967213, 0.28057553956834536
0.2803825136612022, 0.5323741007194243
0.2937704918032787, 0.7167266187050361
0.3079234972677596, 0.8785971223021583
0.3251366120218579, 0.9820143884892083
